Name,by,Substack URL,X URL
Forgd,Forgd,https://content.forgd.com/,
Auditless,Peteris Erins,https://research.auditless.com/,https://x.com/p_e
The MoneyVerse,Naly,https://moneyverse.substack.com/,https://twitter.com/defi_naly
Sunday Morning Markets,Alpha Vantage,https://sundaymorningmarkets.substack.com/,https://twitter.com/alpha_vantage
M31 Capital,Nathan Montone,https://m31capital.substack.com/,https://twitter.com/NathanMontone
Unsyndicated,Mason Nystrom,https://www.masonnystrom.com/,https://twitter.com/masonnystrom
SW(ShawnWang)’s Newsletter,SW-ShawnWang,https://shawnwang.substack.com/,
The Bitcoin Letter,Matthew Pettigrew,https://thebitcoinletter.substack.com/,
The Till,Mark Phillips,https://thetill.substack.com/,https://x.com/Farkus5000
Mahesh’s Substack,Mahesh Mannava,https://maheshmannava.substack.com/,
Juan’s Substack,Juan Granados,0xjsg.substack.com/,
Chandan web3,Chandan,https://iamchandan.substack.com/,
Denken’s Tritsch-Tratsch Letter,Denken Chen,https://denkeni.substack.com/,
Christopher's Perceptions,C.M.P.,https://cmpgfb.substack.com/,https://x.com/CMPGFB
Bastion’s Commodity Views,https://substack.com/@pendingdeletionc4450735d3d94a5?utm_source=about-page,https://pendingdeletionf0586555100f4d5.substack.com/,
bHeau’s Newsletter,bHeau,https://bheau.substack.com/,https://x.com/bh359
BitcoinStrategy,Root,https://bitcoinstrategy.substack.com/,https://x.com/therationalroot
Blockchain & Booze,Adam Levy,https://blockchainbooze.substack.com/,https://x.com/BCBooze
BlockChannel,https://blockchannel.substack.com/,https://blockchannel.substack.com/,
Bootstrapping Kiwi,Tim Daubenschütz,https://bootstrappingkiwi.substack.com/,
Buffalu's Substack,Lucas Bruder ,https://buffalu.substack.com/,https://x.com/buffalu__
by ethereumprice.org,Nick Cannon,https://validity.substack.com/,
Citrini Research,Citrini,https://www.citriniresearch.com/,https://x.com/Citrini7
Coin Gazette,Jiya Rizvi,https://cryptonook.substack.com/,https://x.com/r_wajiha
Coin98 Analytics,imleanh ,https://coin98analytics.substack.com/,https://x.com/Coin98Analytics
Continually Better,Anthony Lynch,https://www.continuallybetter.com/,https://x.com/anthonylynch37
Cronos POS Chain Newsletter,Cronos POS Chain ,https://blog.cronos-pos.org/,https://x.com/cronos_chain
Crypto by the Pixel,Crypto Pixel (Vlad Totia),https://cryptopixel.substack.com/,
Crypto Clarity,Sam Andrew,https://samuelandrew.substack.com/,
Crypto Market Frameworks | 0xHamZ,,https://0xhamz.substack.com/,
"Crypto, Distilled","Crypto, Distilled",https://cryptodistilled.substack.com/,https://x.com/distilledcrypto
