Name,YouTube URL,Channel ID
Bankless,https://www.youtube.com/@Bankless,UCCRxYlYOmLE2l5wxs3ckJtg
The Rollup,https://www.youtube.com/@TheRollupCo,UCC2UPtfjtdAgofzuxUPZJ6g
Defi Dad,https://www.youtube.com/@DeFiDad,UCatItl6C7wJp9txFMbXbSTg
Blocmates,https://www.youtube.com/@blocmates,UC0I5D5jZspDnRJGJlFgNwKA
Jax Dwyer,https://www.youtube.com/@jaxdwyer,UCBNhzpO2jte-HcDLdy1JrWg
Cryptocito,https://www.youtube.com/@cryptocito,UCfZnTvJ2oz9RoROuH-jY6Jg
Lightspeed Pod,https://www.youtube.com/@LightspeedpodHQ,UCEOv-8wHvYC6mzsY2Gm5WcQ
0xResearch,https://www.youtube.com/@0xresearchPodcast,UCEOv-8wHvYC6mzsY2Gm5WcQ
Bell Curve,https://www.youtube.com/@bellcurvepodcast,UCkrwgzhIBKccuDsi_SvZtnQ
Empire,https://www.youtube.com/@empirepod,UCkrwgzhIBKccuDsi_SvZtnQ
Expansion,https://www.youtube.com/@ExpansionPod,UCzhsus_kXBn8sF7smIjURVg
Unchained,https://www.youtube.com/@UnchainedCrypto,UCWiiMnsnw5Isc2PP1to9nNw
Cryptosetups,https://www.youtube.com/@CryptoSetups,UCrl8pzQTKAVuSHZ-UF75pPw
TheDefiant,https://www.youtube.com/@TheDefiant,UCL0J4MLEdLP0-UyLu0hCktg
Delphi Digital,https://www.youtube.com/@Delphi_Digital,UCQxYEuFeeVoi1nFQs5bQW3g
The Gwart Show,https://www.youtube.com/@thegwartshow,UCZBo-pYEI9lyjxoojq_X8MA
When Shift Happens,https://www.youtube.com/@when-shift-happens,UCKc3w9FKFGdBR9PIkfngzPg
